feature_type,hour,dow,month,1,Billet Yard,Billet Yard Left,Coil Yard,Coil Yard Camera-2,DISHPATCH GATE,ECR6 SBL,Finishing Stand,Furnace Oil Reading,Junk Yard,Mukandsumi,Mukansumi,NDT,PSM,SBL DUMPING YARD,SBL Loading,SBL MTA Desk,Utility Back Right,Utility Road Left,default
Camera Fault,1,3,9,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.736111111,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889
Camera Fault,1,3,11,0.00591716,0.00591716,0.00591716,0.00591716,0.00591716,0.00591716,0.00591716,0.00591716,0.00591716,0.00591716,0.272189349,0.00591716,0.00591716,0.00591716,0.00591716,0.00591716,0.00591716,0.313609467,0.313609467,0.00591716
Camera Fault,1,4,4,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.703125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625
Camera Fault,1,4,7,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.739726027,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863
Camera Fault,1,4,9,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.439655172,0.405172414,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069
Camera Fault,1,4,12,0.007936508,0.007936508,0.007936508,0.007936508,0.007936508,0.007936508,0.007936508,0.007936508,0.420634921,0.404761905,0.007936508,0.007936508,0.007936508,0.007936508,0.007936508,0.007936508,0.007936508,0.023809524,0.023809524,0.007936508
Camera Fault,1,5,4,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.418032787,0.43442623,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721
Camera Fault,1,5,7,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.443396226,0.386792453,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962
Camera Fault,1,5,10,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.732394366,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507
Camera Fault,1,5,12,0.030779754,0.031463748,0.031463748,0.032147743,0.032831737,0.030779754,0.000683995,0.032147743,0.000683995,0.000683995,0.461012312,0.030779754,0.031463748,0.032147743,0.031463748,0.030779754,0.030779754,0.032147743,0.032147743,0.063611491
Camera Fault,1,6,1,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.43902439,0.414634146,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081
Camera Fault,1,6,4,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.683333333,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667
Camera Fault,1,6,5,0.005714286,0.005714286,0.005714286,0.005714286,0.005714286,0.005714286,0.28,0.005714286,0.005714286,0.302857143,0.005714286,0.005714286,0.011428571,0.005714286,0.005714286,0.302857143,0.005714286,0.011428571,0.011428571,0.005714286
Camera Fault,1,6,7,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.720588235,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882
Camera Fault,1,6,10,0.008849558,0.008849558,0.008849558,0.008849558,0.008849558,0.008849558,0.008849558,0.008849558,0.433628319,0.407079646,0.008849558,0.008849558,0.008849558,0.008849558,0.008849558,0.008849558,0.008849558,0.008849558,0.008849558,0.008849558
Camera Fault,2,0,1,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.672413793,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379
Camera Fault,2,0,5,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.424528302,0.405660377,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962
Camera Fault,2,0,8,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.661290323,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.032258065,0.032258065,0.016129032
Camera Fault,2,0,10,0.031372549,0.031372549,0.02745098,0.02745098,0.035294118,0.02745098,0.003921569,0.02745098,0.003921569,0.003921569,0.48627451,0.02745098,0.035294118,0.031372549,0.031372549,0.02745098,0.02745098,0.035294118,0.02745098,0.050980392
Camera Fault,2,1,3,0.005882353,0.005882353,0.005882353,0.005882353,0.005882353,0.005882353,0.005882353,0.005882353,0.005882353,0.311764706,0.005882353,0.005882353,0.005882353,0.005882353,0.005882353,0.005882353,0.005882353,0.311764706,0.276470588,0.005882353
Camera Fault,2,1,5,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.654545455,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818
Camera Fault,2,1,8,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.407407407,0.425925926,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259
Camera Fault,2,1,11,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.707692308,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615
Camera Fault,2,2,2,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.431372549,0.392156863,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922
Camera Fault,2,2,3,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.396226415,0.396226415,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.028301887,0.028301887,0.009433962
Camera Fault,2,2,6,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.736111111,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889
Camera Fault,2,2,8,0.034883721,0.040697674,0.023255814,0.034883721,0.029069767,0.034883721,0.005813953,0.040697674,0.005813953,0.005813953,0.406976744,0.034883721,0.046511628,0.040697674,0.046511628,0.023255814,0.01744186,0.034883721,0.040697674,0.052325581
Camera Fault,2,2,11,0.01010101,0.01010101,0.01010101,0.01010101,0.01010101,0.01010101,0.01010101,0.01010101,0.434343434,0.383838384,0.01010101,0.01010101,0.01010101,0.01010101,0.01010101,0.01010101,0.01010101,0.01010101,0.01010101,0.01010101
Camera Fault,2,3,2,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.683333333,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667
Camera Fault,2,3,6,0.00990099,0.00990099,0.00990099,0.00990099,0.00990099,0.00990099,0.00990099,0.00990099,0.415841584,0.405940594,0.00990099,0.00990099,0.00990099,0.00990099,0.00990099,0.00990099,0.00990099,0.00990099,0.00990099,0.00990099
Camera Fault,2,3,9,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.720588235,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882,0.014705882
Camera Fault,2,3,11,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.533333333,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.12,0.12,0.013333333
Camera Fault,2,4,4,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.698412698,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016
Camera Fault,2,4,6,0.011904762,0.011904762,0.011904762,0.011904762,0.011904762,0.011904762,0.011904762,0.011904762,0.011904762,0.011904762,0.654761905,0.130952381,0.011904762,0.011904762,0.011904762,0.011904762,0.011904762,0.011904762,0.011904762,0.011904762
